"ignore","type","question","compare","against","predict"
FALSE,high,out.regret,57614,58403,greater

FALSE,high,out.good,40550,58403,less
FALSE,high,out.bad,40550,58403,greater
FALSE,high,out.happy,40550,58403,less
FALSE,high,out.regret,40550,58403,greater

FALSE,high,out.good,unexpected_failure,58403,less
FALSE,high,out.bad,unexpected_failure,58403,greater
FALSE,high,out.happy,unexpected_failure,58403,less
FALSE,high,out.regret,unexpected_failure,58403,greater

FALSE,high,out.good,8638(main),58403,less
FALSE,high,out.bad,8638(main),58403,greater
FALSE,high,out.happy,8638(main),58403,less
FALSE,high,out.regret,8638(main),58403,greater
